Source path,Class name,Checksum,Description,Responsibility,Pattern 1,Pattern 2,Pattern 3,Inference time (ms),Input tokens,Output tokens
src/main/java/org/springframework/samples/petclinic/owner/PetType.java,org.springframework.samples.petclinic.owner.PetType,b59ce06e34b1a62d6068c54779583774503d53a1579ab739857133bcccbe2cb2,"Represents a type of pet with a name, extending a named entity base class.",Pet type management,Entity,Inheritance,,1019,438,83
src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,205b60fdf30d015f7432f0a941f59163aabd47e11fe0efa7f97c3956c613418b,"Handles formatting and parsing of PetType objects for Spring MVC applications, converting between PetType instances and their string representations.",Data formatting and parsing,Formatter,Component,,1079,658,90
src/main/java/org/springframework/samples/petclinic/owner/PetTypeRepository.java,org.springframework.samples.petclinic.owner.PetTypeRepository,c11b3be249b148aba6431568d988e3ca5bed978c90bc49a36b17cd480ab7e75b,Provides data access operations for PetType domain objects.,Data Access,Repository,Data Mapper,,991,538,76
src/main/java/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,fd39a1278020105403fa8464f8737470e88978d0023a92cbc5734a6aa4824660,"Validates Pet objects by checking if their name, type (for new pets), and birth date fields are properly set, adding validation errors when any required field is missing.",Pet validation,Validator,,,863,617,82
src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,c7f328eeb6c0ed031c2e988619df6aa59bf213a68b520603c08afd40b693a4b3,"Represents a visit domain object with date and description attributes, serving as a data model for visit records in the system.",Domain object,JavaBean,Entity,,1016,562,90
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,b1f595b5e0f0600becaa51d9745c74008210e64b36862b81b5667056a6d5fc65,"Manages visit-related operations for pets, including loading pet data with visits, preparing visit forms, and processing visit submissions.",Visit management,Controller,Model-View-Controller,,1130,877,94
src/main/java/org/springframework/samples/petclinic/system/CacheConfiguration.java,org.springframework.samples.petclinic.system.CacheConfiguration,60b21cc9f55073513e7eebe11e7f38f82da0c782da43fa3ce21072ed7ad23373,A configuration class that sets up JCache-based caching with statistics enabled for the application.,Caching configuration,Configuration,Factory,Customizer,905,624,76
src/main/java/org/springframework/samples/petclinic/system/CrashController.java,org.springframework.samples.petclinic.system.CrashController,86bbf9eb93115621f84a117a635a5b014b454f91400e787b22fca59d59bdcc55,Triggers an exception to demonstrate error handling behavior in the application.,Exception demonstration,Controller,,,734,495,60
src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,f40c742c80628cd9380d28005612a2db8dbb559c4013216024ac53e1d1352259,"Configures internationalization (i18n) support for the application by handling language-specific message loading, user language tracking, and URL-based language switching.",Internationalization configuration,Configuration,Bean Factory,,1213,762,99
src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,0dec75bf486a2e43c9a554b44280b9ab9b2ffdb7f84644ef3092e2caeae121de,Returns a welcome message for the root path of the application.,Welcome handling,Front Controller,MVC,,843,439,78
src/main/java/org/springframework/samples/petclinic/vet/Specialty.java,org.springframework.samples.petclinic.vet.Specialty,2fec3eef50ad03e915d13a9471370536c680633f3f85b42843f5b160d23d9b76,"Represents a veterinary specialty such as dentistry, modeling the domain concept of a vet's area of expertise.",Specialty modeling,Entity,,,927,448,70
src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,969230c56feffc7ccbcb29c3dd0dee5cc0a2362808bc771bdbd788fd21322b40,Represents a veterinarian in the system with their associated specialties.,Veterinary data management,Domain Model,Entity,JavaBean,1057,620,98
src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,14e4d79ad4080d82a11b0333ad35f6ab986e3e1e5c5606ae46c5901648dc4b1d,"Manages veterinarian data retrieval and presentation through web endpoints, providing both HTML views and JSON resources for client consumption.",Veterinarian data presentation,MVC Controller,Repository pattern,,1164,623,92
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,977e51e5f93556b592fbebe06e98c38e44a1e3a7b714367508cd25afe7705359,Provides data access operations for veterinarian entities with caching support.,Data access,Repository,Data Access Object,,955,723,78
src/main/java/org/springframework/samples/petclinic/vet/Vets.java,org.springframework.samples.petclinic.vet.Vets,ca143663ca0b1821b1acb6c4c251ecfa886e4f7d2b01c28832a0d5035fd5ad95,A domain object that represents a collection of veterinarians for XML marshaling purposes.,Data container,Domain Model,Value Object,,981,490,82
